label,application_type_abstract,publication_title_claims
G,utility  method for determining  radionuclide concentration   material  provided  The method comprises placing  detector   protective structure  wherein the detector  coupled   single channel analyzer  The method further comprises inserting the protective structure   material  wherein the material comprises  radionuclide  The method additionally comprises measuring the moisture content  the material   analyzed  The method also comprises counting the emitted radiation having  known energy over  interval  time  produce  count per time  wherein the emitted radiation  emitted from the radionuclide and then dividing the count per time  the weight  the material  produce  count per time per weight ,Radiation survey process
A,utility The invention relates   backpack  case  which   the closed state   formed  shaped from substantially  underside  upper side  lateral surfaces   surface   carried  the back and  front surface  wherein  opening region  formed   along  surface     which  formed with  least one fold down flap       whereby  substantially complete opening      the substantially tub shaped backpack body  made  the elongated surface   carried  the back and  the  least one fold down flap   means   least one zip closure      and wherein the surface   carried  the back  provided with backpack straps ,Backpack
H,utility  display element includes   base substrate   metal layer  the base substrate   passivation film  the base substrate and covering the metal layer   electrode  the passivation film and  least partially overlapping the metal layer  and  pixel defining film  the passivation film  The pixel defining film has  opening  least partially exposing the electrode  and portions  the electrode offset from the metal layer are below  portion  the electrode overlapping the metal layer such that trenches are defined  the opening ,Display element
"H,C",utility  electrolyte for  lithium secondary battery  the electrolyte including   compound represented  Formula     lithium salt  and  organic solvent  wherein  amount  the compound represented  Formula    less than about     weight percent  based   total weight  the electrolyte      wherein   Formula          are each independently selected from hydrogen  fluorine        alkyl group  and       aryl group ,Electrolyte for lithium secondary battery and lithium secondary battery including the electrolyte
"A,C",utility  compound    pharmaceutically acceptable salt  ester thereof  having  formula                         wherein      aryl  substituted aryl  heteroaryl  substituted heteroaryl  heterocycloalkyl  substituted heterocycloalkyl  alkoxy  aryloxy   silyl containing group   boryl containing group   phosphine containing group  amino   thio containing group   seleno containing group  halide    nitro containing group    alkanediyl  substituted alkanediyl  cycloalkanediyl   substituted cycloalkanediyl             wherein       alkyl      alkanediyl  substituted alkanediyl  cycloalkanediyl  substituted cycloalkanediyl  alkadienyl  substituted alkadienyl  alkatrienyl  substituted alkatrienyl                             moiety that includes  least one divalent amino radical       aryl  substituted aryl  heteroaryl  substituted heteroaryl  heterocycloalkyl  substituted heterocycloalkyl  alkoxy  aryloxy   silyl containing group   boryl containing group   phosphine containing group  amino   thio containing group   seleno containing group  halide    nitro containing group                  and         provided that           then   not  ,Compounds for treating prostate cancer
H,utility Embodiments relate   software defined networking  SDN  single source enterprise workload manager   aspect includes analyzing    enterprise server executing  workload compiler   plurality  source code files   workload during  workload compilation and build process  determine enterprise network connections between  plurality  subprograms  the workload   plurality  compile time information  the workload  The workload compiler generates  network flow graph  interactions between the subprograms  the workload  the enterprise network responsive  the compile time information  the workload  The network flow graph  provided   SDN controller  make network resource allocations for the workload based  the network flow graph   workload manager  the enterprise server adjusts  allocation  compute resources based   notification   reallocation  network resources made  the SDN controller ,Software defined networking single source enterprise workload manager
"H,G",utility  DER  distributed energy resource  device includes  metrology module and  communications module  The metrology module monitors the output  the DER device and the communications module provides bidirectional communications across  communications network  control the DER device  The control  the DER devices may include commands  connect the DER device  the grid   disconnect the DER device  the grid   connect the DER device  the premises    adjust  power characteristic  the output  the DER device ,Metering and communications for distributed energy resource devices
H,utility Linear fiducials including notches  chevrons with known angles relative  each other are formed such that each branch   chevron appears   cross sectional face  the sample   distinct structure  Therefore  when imaging the cross section face during the cross sectioning operation  the distance between the identified structures allows unique identification  the position  the cross section plane along the  axis  Then  direct measurement  the actual position  each slice can  calculated  allowing for dynamic repositioning  account for drift  the plane  the sample and also dynamic adjustment  the forward advancement rate  the FIB  account for variations  the sample  microscope  microscope environment  etc  that contributes  drift   additional result  this approach  the ability  dynamically calculate the actual thickness  each acquired slice    acquired ,Method and system for cross sectioning a sample with a preset thickness or to a target site
A,utility  sensor adaptor couples  face mask   gas sampling tube connected   device detecting end tidal carbon dioxide  The sensor adaptor includes  shaft and connector  The shaft includes  channel providing  pathway for the carbon dioxide  travel toward the gas sampling tube  One end  the shaft includes  adaptor tip which extends through  exit port  the face mask   connector  attached  the other end  the shaft and couples the sensor adaptor  the gas sampling line   gripper may surround the shaft and prevent improper advancement  the shaft into the face mask  The sensor adaptor can  designed for use with any gas sampling tube and any face mask including exit ports ,Sensor adaptor  apparatus  and method for monitoring end tidal carbon dioxide
"B,F",utility Provided   outboard motor raising and lowering apparatus that  capable  automatically changing the speed  raising lowering  outboard motor according   status  the outboard motor  The outboard motor raising and lowering apparatus     includes   first fluid passage that connects  pump        second chamber    one  more tilt cylinders       and  second chamber    one  more trim cylinders        second fluid passage that  connected  the first chamber   least one  the one  more trim cylinders   switching valve      provided  the second fluid passage  and  control section       configured  control the switching valve with reference   watercraft status signal ,Outboard motor raising lowering device
"H,G",utility Transistor cell architectures including both front side and back side structures   transistor may include one  more semiconductor fins with  gate stack disposed along  sidewall   channel portion  the fin  One  more source drain regions  the fin are etched  form recesses with  depth below the channel region  The recesses may extend through the entire fin height  Source drain semiconductor  then deposited within the recess  coupling the channel region   deep source drain   back side  the transistor  processed  reveal the deep source drain semiconductor material  One  more back side interconnect metallization levels may couple  the deep source drain  the transistor ,Integrated circuit device with back side interconnection to deep source drain semiconductor
C,utility The present disclosure relates  using  compound   reactant  one  more chemical reactions for making intermediate compounds  reaction product compounds that includes  least one cyclic  halamine precursor group and  least one cationic center  The compound has the general formula      Wherein   either    and when    then   and   are each independently selected from  group  methyl  ethyl   propyl  When    then   and   are both nil and   selected from    and   The reaction product compound may have biocidal activity and   may have increased biocidal activity following one  more chemical modification reactions ,Use of compounds for making products with at least one N halamine precursor group and at least one cationic center
E,utility  novel and useful frameless supplemental window for fenestration incorporating infiltration blockers suitable for use with existing windows  The supplemental window   one embodiment  comprises plastic sheet material with bullnose edging around   Corner braces add rigidity and strength  corners  several embodiments   attachment mechanism secured either  the sheet material  the bullnose edge functions  fasten and  seal the supplemental window   existing window  Infiltration blockers fastened  the sheet  bullnose prevent  minimize air leakage around various window elements  The bullnose edging and infiltration blockers function  substantially enclose     trap   volume  air between the window pane and the plastic sheet material  The supplemental window  configured such that the layer  air enclosed    optimum thickness within  preferred range             inches  maximize thermal insulation properties  the supplemental window ,Frameless supplemental window for fenestration
F,utility  engine system may include   engine including cylinders that generate  driving torque  combusting fuel   first intake manifold connected   intake line through which flows intake air into some  the plurality  cylinders   second intake manifold supplying the intake air  the other cylinders  the plurality  cylinders through the first intake manifold   first exhaust manifold connected  some cylinders that are connected  the first intake manifold   second exhaust manifold connected  some other cylinders that are connected  the second intake manifold   recirculation line branched from the second exhaust manifold   coupled  the second intake manifold   recirculation inlet valve disposed   point  which the recirculation line and the second exhaust manifold are joined  and  manifold connection valve disposed   intake line between the first intake manifold and the second intake manifold ,Engine system
H,utility  liquid electrolyte for  lithium metal battery comprises       mol     aprotic solvent       mol     ionic liquid        mol     lithium salt and     mol   additives  The aprotic solvent consists  one  more   linear carbonate and  linear ether and the ionic liquid consists  one  more  PYR  FSI  PYR  FSI  PYR  TFSI  and PYR  TFSI  The lithium salt  selected from the group consisting  LiFSI  LiTFSI  and LiBET  The liquid electrolyte can have  flash point  greater than       and  dynamic viscosity  less than     mPa  ,Liquid electrolyte for a lithium metal battery
G,utility Systems can identify visible surfaces for pixels   image  portion    rendered   sampling pattern  ray directions  applied  the pixels   that the sampling pattern  ray directions repeats  and with respect  any pixel  the same ray direction can  found  the same relative position  with respect  that pixel   for other pixels  Rays are emitted from visible surfaces  the respective ray direction supplied from the sampling pattern  Ray intersections can cause shaders  execute and contribute results   sample buffer  With respect  shading   given pixel  ray results from  selected subset  the pixels are used  the subset  selected  identifying  set  pixels  collectively from which rays were traced for the ray directions  the pattern  and requiring that surfaces from which rays were traced for those pixels satisfy  similarity criteria ,Rendering of soft shadows
"G,H",utility  optical apparatus including  semiconductor substrate   first light absorption region supported  the semiconductor substrate  the first light absorption region including germanium and configured  absorb photons and  generate photo carriers from the absorbed photons   first layer supported   least  portion  the semiconductor substrate and the first light absorption region  the first layer being different from the first light absorption region  one  more first switches controlled   first control signal  the one  more first switches configured  collect  least  portion  the photo carriers based  the first control signal  and one  more second switches controlled   second control signal  the one  more second switches configured  collect  least  portion  the photo carriers based  the second control signal  wherein the second control signal  different from the first control signal ,High speed light sensing apparatus II
"G,H",utility The present invention   photograph sharing process and  system that allows professional photographers  who photograph weddings  other events where large numbers  photographs containing varying subject   send photographs  which  subject  individual appears directly  that particular individual  Thus  the photographs are shared only with intended recipients and may  viewed essentially simultaneously   close proximity  the photographed event ,Private photo sharing system  method and network
H,utility  wireless device receives from  base station  message   comprising configuration parameters   cell  The configuration parameters may comprise BWP parameters   first BWP and  second BWP  and  timer value associated with  BWP inactivity timer   first DCI may  received   first slot  The first DCI may indicate switching  the second BWP   active BWP   response  the first DCI  the first BWP may switch  the second BWP  the active BWP   response  the first DCI  the BWP inactivity timer may  started   second slot based  the timer value  The second slot may occur after the first slot   amount  time determined based   time offset value   default BWP may  switched   response   expiry  the BWP inactivity timer ,Activation and deactivation of bandwidth part
G,utility The invention provides  stringed musical instrument comprising  guitar type hollow body   neck joined  the hollow body  and  banjo type pot comprising  rim   head and  tension hoop  positioned within  first interior chamber within the hollow body  The rim and head define  second interior chamber within the banjo type pot  The banjo type pot  affixed   back surface  the hollow body such that the head  the banjo type pot  proximal   front surface  the hollow body and distal  the back surface  the hollow body  The banjo type pot  positioned within the first interior chamber  form  path for sound waves generated  the head  travel from  second interior chamber within the banjo type pot through the first interior chamber and out   least one opening provided  the front surface  the hollow body ,Musical instrument combining sound characteristics of a guitar and banjo
"G,H",utility  crossing point detector includes memory and  crossing point detection unit that reads out  square image from  captured image  the memory  and detects  crossing point  two boundary lines   checker pattern depicted  the square image  The crossing point detection unit decides multiple parameters   function model treating two dimensional image coordinates  variables  the parameters optimizing  evaluation value based   difference between corresponding pixel values represented  the function model and the square image  respectively  and computes the position   crossing point  two straight lines expressed  the decided multiple parameters  thereby detect the crossing point with subpixel precision  The function model uses  curved surface that   least first order differentiable  express pixel values  respective positions   two dimensional coordinate system  the boundary between black and white regions ,Crossing point detector  camera calibration system  crossing point detection method  camera calibration method  and recording medium
"C,A",utility   vinylquinolines analogs and methods  synthesizing the derivatives analogs are provided   particular  the compounds are useful for the treatment  cancer ,  vinylquinolines as cancer cells inhibitors
"C,A",utility The present invention relates  RANKL  cellular vesicles isolated from osteoblastic lineage cells  optionally immortalised  their use for the therapeutic treatment  bone pathologies and for diagnostic purposes  and processes for the production  said vesicles ,Extracellular vesicles derived from osteoblastic lineage cells for therapeutic and diagnostic use
"H,G",utility The disclosure discloses  electromagnetic driving module which includes  base  two magnetic elements   wiring assembly   reference element  and  sensor element  The two magnetic elements are arranged along  reference line and positioned  two sides  the base  The wiring assembly  connected  the base and arranged adjacent  the two magnetic elements  The reference element  positioned  the base  The sensor element  adjacent  the reference elements and configured  detect the movement  the reference element  position the base   lens device using the electromagnetic driving module  also disclosed ,Electromagnetic driving module and lens device using the same
G,utility  method  computer program product  and computing system for monitoring  portion  speech   automated speech recognition system that includes  plurality  classifiers  thus defining  monitored portion  speech  wherein  operation  defined for each  the plurality  classifiers   confidence score concerning the monitored portion  speech  associated with each   plurality  classifiers  thus defining  plurality  confidence scores   one  the plurality  confidence scores   acceptable confidence score  the operation defined for the classifier associated with the acceptable confidence score  effectuated ,Routing system and method
H,utility  connector having  housing having  receiving passage formed therein   terminal inserted   insertion direction and mounted  the receiving passage  Wherein  limiting protrusion    wall  the receiving passage  and configured   abutted against the terminal retaining  portion  the terminal outside the receiving passage  when the terminal  pre inserted into the receiving passage ,Connector and connector housing
A,utility  device  assist  person  rise from  seated position comprising  pair  vertical laterally spaced frame members   which each frame members has  elongated sloped handrail extending along the top  the frame members  whereby the hand rails provide hand gripping regions  assist  user from  initial seated position  rise  pulling   lower region  the handrail  while reacting with foot   floor member  and further provides progressively higher gripping regions for support while standing and walking ,Device to assist person rising from a seated position
B,utility The present invention provides  means  achieve enhanced control  repair forces  the automotive body repair industry   particular  the present invention provides  modified slide hammer and  method  achieve repair through the controlled application  forces otherwise not attainable with existing embodiments  Additionally  the present invention provides  ease  use and versatility  application and mounting  the site  the work  conjunction with and  line with existing devices used  the repair process  The application  the present invention provides increased reliability  the delivery  intended forces  the site  the work  Further  the inherent isolation  repair forces  the intended site  the work  the use  the present invention reduces the likelihood  secondary damage  material waste   catastrophic failure thereby also enhancing the safety  the operator and the effectivity  repair  Specifically  the present invention may  implemented  conjunction with existing frame pullers  the automotive body repair industry  affect repair while providing facility  avoid obstructions  the path  applied forces ,Versatile slide hammer method and apparatus
"B,H",utility  second mold  divided into  recess side mold portion  which includes  recess  and  remaining mold portion   sliding direction   movable pin  while  size   gap between the recess side mold portion and the remaining mold portion  adjustable  The second mold  configured  execute  first mold closing operation for contacting the recess side mold portion  the first mold and thereafter  second mold closing operation for contacting the remaining mold portion  the recess side mold portion   distal end portion  the movable pin  configured   placed into  non contacting state   which the distal end portion  the movable pin  not  contact with the workpiece    time  executing the first mold closing operation  The distal end portion  the movable pin  configured  contact the portion  the workpiece   time  executing the second mold closing operation ,Mold for insert molding
A,utility  workout apparatus    includes base      lifting arm     pivotally connected  base    and movable  base    between  raised position and  lowered position  the lifting arm    including  first end    pivotally connected  base    and  second end    opposite the first end  the second end    including  gripping end piece      least one weight post    extends outward from lifting arm      location between first end    and second end     lifting arm      braking system     mounted  base    and coupled  lifting arm     Braking system    allows lifting arm     move toward the raised position freely  Braking system     engaged  lifting arm    moves towards the lowered position  lower lifting arm    toward the lowered position   controlled rate  speed ,Workout apparatus
B,utility  recording apparatus includes  recording head that performs recording   medium   transport belt that has  clinging surface that cling the medium  and transports the medium   position facing the recording head   first charging unit that   contact with the transport belt  frictionally charge the clinging surface  and  second charging unit that applies  voltage  the transport belt  charge the clinging surface   which  control unit  which switches between charging  the clinging surface  the first charging unit and charging  the clinging surface  the second charging unit  switches between the charging  the clinging surface  the first charging unit and the charging  the clinging surface  the second charging unit  according   state   surface  the medium  which   contact with the clinging surface ,Recording apparatus
G,utility  method and apparatus for evaluating  illumination condition   face image  provided  decomposing  face image into illumination feature components and face feature components  extracting determined areas  the face image  calculating  maximum luminance feature   minimum luminance feature and  illumination direction feature according  the decomposed illumination feature components  the determined areas  The illumination condition  the face image  evaluated according  the maximum luminance feature  the minimum luminance feature and the illumination direction feature ,Method and apparatus for evaluating illumination condition in face image
B,utility There  provided  composite hollow fiber membrane for gas and vapour separation comprising   porous membrane substrate  and  selective layer  cross linked polydimethylsiloxane  PDMS  provided   surface  the porous membrane substrate  wherein the molecular weight  the cross linked PDMS        mol  There  also provided  method  forming the composite hollow fiber membrane  and  method  forming the cross linked polydimethylsiloxane  PDMS  having  molecular weight       mol ,Composite hollow fiber membrane
"C,A",utility The invention relates  disulfide rich peptides derived from spider venom and their use  particularly  neuroprotective agents  The invention also relates  nucleic acid molecules encoding the peptides  well  constructs and host cells comprising those nucleic acid molecules ,Neuroprotective agents derived from spider venom peptides
"F,H",utility  vent and  cooker having  vent are provided for which  built  component accommodated  the cooker  not easily visible from the outside through  exhaust hole provided  the vent  which enables simple manufacturing and assembly  which can smoothly discharge exhaust gas  and has  function   support structure  the cooker  and  vent structure thereof  The vent may include  main vent configured   exposed through  upper portion  the cooker and including  main exhaust surface having main exhaust holes and  sub vent spaced apart from  lower portion  the main vent and aligned  parallel with the main exhaust surface and including  sub exhaust surface having sub exhaust holes ,Vent and cooker having a vent
"H,B,C",utility  conductor includes     substrate      transparent conductive film formed  the substrate and including  silver nanowire   iii   metal film formed over the transparent conductive film such that  least  portion thereof overlaps the transparent conductive film  and     buffer film provided between the transparent conductive film and the metal film  the buffer film having adhesion  each  the transparent conductive film and the metal film  and not impeding conductivity between the transparent conductive film and the metal film  Preferably  the buffer film  formed   organic material having respective functional groups capable  bonding  the transparent conductive film and the metal film ,Conductor and method of manufacturing the same
"C,A",utility  condensed heterocyclic compound represented  the following formula  its salt    oxide thereof      wherein                                     nitrogen atom           nitrogen atom       and    integer          ,Condensed heterocyclic compounds and pesticides
H,utility  method  simplifying the implementation  Synchronous Ethernet   Ethernet device having  first port and  second port device using  predetermined protocol and signaling  comprises delivering  master clock from  Synchronous Ethernet system  the first port  the Ethernet device  transmitting the delivered master clock  the second port  the Ethernet device independently  the protocol and signaling  the Ethernet device  and transmitting the master clock from the second port  the Ethernet device   downstream device that supports Synchronous Ethernet   one implementation  the Ethernet device has  local clock  and the method synchronizes the local clock  the master clock   another implementation  the Ethernet device does not have  local clock  and the master clock  transmitted from the second port  the Ethernet device  the downstream device without any synchronizing operation  the Ethernet device ,Simplified synchronized ethernet implementation
"G,H",utility Using the same image sensor  capture both  two dimensional     image   three dimensional     object and   depth measurements for the object   laser point scans the surface  the object with light spots  which are detected   pixel array  the image sensor  generate the   depth profile  the object using triangulation  Each row  pixels  the pixel array forms  epipolar line  the corresponding laser scan line  Timestamping provides  correspondence between the pixel location   captured light spot and the respective scan angle  the laser  remove any ambiguity  triangulation   Analog  Digital Converter  ADC   the image sensor generates  multi bit output  the   mode and  binary output  the   mode  generate timestamps  Strong ambient light  rejected  switching the image sensor     logarithmic mode from    linear mode ,CMOS image sensor for  D imaging and depth measurement with ambient light rejection
"B,H",utility  grommet includes  tube  and  flange that has  greater diameter than the tube  the flange having  inner end that  located   inner side   radial direction and that  coupled  one end  the tube  wherein  the inner end  the flange  formed    bulge outward   radial direction relative   outer circumferential surface  the tube  and has  outer surface that faces toward the tube and  inner circumferential surface that  located  the opposite side  the outer surface  and faces toward  internal space  the flange  and  connection between the one end  the tube and the inner end  the flange  provided with  recess that  recessed   direction from the outer surface  the inner end  the inner circumferential surface  the inner end ,Grommet and wire harness
H,utility Provided   high performance composite substrate for surface acoustic wave device which has good temperature characteristics and  which spurious caused  the reflection   wave   joined interface between  piezoelectric crystal film and  support substrate  reduced  The composite substrate for surface acoustic wave device includes   piezoelectric single crystal substrate  and  support substrate  where    portion   joined interface between the piezoelectric single crystal substrate and the support substrate   least one  the piezoelectric single crystal substrate and the support substrate has  uneven structure   ratio   average length RSm  elements   cross sectional curve  the uneven structure   wavelength     surface acoustic wave when the substrate  used   surface acoustic wave device  equal   more than     and equal   less than     ,Composite substrate for surface acoustic wave device  method of producing composite substrate for surface acoustic wave device  and surface acoustic wave device using composite substrate
G,utility Techniques facilitating resolution based spatial computing are provided   one example   computer implemented method comprises traversing    device operatively coupled   processor   data structure corresponding   land area for  location having  index  and determining   the device  whether the location   least partially within the land area based   result  the traversing   some embodiments  the traversing comprises  obtaining  threshold number  levels based  least  part   resolution parameter  scanning  first level  the data structure for  node having  index corresponding  the index  the location  and iterating the scanning for respective subsequent levels  the data structure based  the scanning returning  node having subordinate nodes and  number  levels for which the scanning and iterating have been performed being less than the threshold number  levels ,Spatial computing for location based services
"H,G",utility  computing device has  motherboard circuit substrate having  least  first layer  electrical interconnects   socket arranged  receive  main processor for the computing device  the socket electrically coupled   least  portion  the first layer  electrical interconnects   least two interposer substrates between the main processor and the socket such that the interposer substrate electrically connects  the main processor and the socket  wherein the interposer substrate has  first set  interconnects that electrically connect between the socket and the first layer  electrical interconnects   least two peripheral circuits  each interposer substrate  the peripheral circuit connected  the main processor through  second set  interconnects  the interposer substrate that connects  the main processor without connecting  the socket  the motherboard circuit substrate  wherein each interposer substrate  folded  allow each peripheral circuit  have  equal path length between the peripheral circuit and the main processor  wherein the  least two interposer substrates are stacked such that the  least two peripheral circuits  each interposer substrate are stacked with the  least two peripheral circuits  another  the  least two interposer substrates ,Stacked and folded above motherboard interposer
"A,G",utility  system includes  first radiation source configured  provide therapeutic radiation   treatment area and  automated patient transport configured  transport  patient from  preparation area  the treatment area   position  treatment volume  the patient relative  the therapeutic radiation from the first radiation source  and  support the patient  receiving the therapeutic radiation  The automated patient transport comprises  first detector configured  detect  first patient positioning indicator located  and   the patient indicative   position  the treatment volume ,Dynamic patient positioning system
H,utility The field effect mobility and reliability   transistor including  oxide semiconductor film are improved   semiconductor layer   transistor  formed using  composite oxide semiconductor  which  first region and  second region are mixed  The first region includes  plurality  first clusters containing one  more  indium  zinc  and oxygen   main component  The second region includes  plurality  second clusters containing one  more  indium   element    represents           zinc  and oxygen  The first region includes  portion  which the plurality  first clusters are connected  each other  The second region includes  portion  which the plurality  second clusters are connected  each other ,Composite oxide semiconductor and method for manufacturing the same
B,utility Containers with closures are disclosed   closure may include  least  polymer orifice reducer configured   permanently secured   rim   opening   container and  flexible tamper evident seal disposed  the topside  the orifice reducer  The flexible tamper evident seal  optionally foil  covers one  more openings  the orifice reducer  Processes for permanently securing  closure   container  optionally  forming  heat seal between the orifice reducer and container rim  are also disclosed ,Processes for making and using closures having container orifice reducer with tamper evident seal
C,utility  high silicon steel strip  manufactured   basic configuration includes partition plates arranged  the longitudinal direction   furnace  extend from  position  the vicinity  respective gas nozzles    parallel  the pass line  the steel strip  and obstacles arranged  face partition plate rear edges  the longitudinal direction  the furnace  obstruct the flow  the gas along the steel strip  that siliconizing spaces surrounded  the steel strip  the partition plates  and the obstacles are formed  and gaps between the partition plate rear edges and the obstacles and  forth which form exhaust passages through which gas  discharged from the siliconizing spaces  other spaces inside the furnace  that treatment gas which has been sprayed from the gas nozzles onto  surface  the steel strip  flow through the siliconizing spaces  discharged through the exhaust passages ,Method for manufacturing high silicon steel strip by continuous siliconizing
G,utility  method and apparatus for monitoring  door   window  disclosed   one embodiment   method  described  comprising receiving    processor   electronic signal from  motion sensor  response  movement  the door  window  determining  direction  movement  the door  window from the electronic signal  the processor  comparing the direction  movement   predetermined direction  the processor  detecting   the processor   alarm condition  the door  window  the electronic signal indicates that the door  window  being opened  and transmitting    transmitter coupled  the processor   alarm signal when the alarm condition has been detected ,Security apparatus and method
G,utility  method for response control   touch screen  disclosed  Whether there   crack  the touch screen  determined   crack area where the crack  located  the touch screen  determined  The crack area includes  plurality  touch points  each touch point having  response sensitivity   touch event  the touch screen   response strategy  the crack area  the touch event  the touch screen  adjusted   mobile terminal and  non transitory computer readable storage medium are also disclosed ,Method  mobile terminal and non transitory computer readable storage medium for response control of touch screen
G,utility  barcoded indicator operative  provide  machine readable indication  exceedance   least one threshold   least one product quality affecting parameter  the barcoded indicator including  least  first barcode and  least  second barcode  the  least  second barcode being   second barcode unreadable state prior  exceedance  the  least one threshold and upon exceedance  the  least one threshold the  least  first barcode becoming unreadable and generally simultaneously the  least  second barcode becoming readable ,Barcoded indicators for quality management
"H,A",utility Embodiments are generally directed   snap button fastener providing electrical connection   embodiment   fastener includes  first mechanical part  the first mechanical part including  least  stud portion  the first mechanical part including  first electrical connector   second mechanical part  the second mechanical part including  least  socket portion with  spring element and the socket portion  the second mechanical part including  second electrical connector  The stud portion  the first mechanical part and the socket portion  second mechanical part   separated  are  interlock upon the application   first force towards each other  and   interlocked   separate upon the application   second force away from each other  The first electrical connector and the second electrical connector are   electrically connected when the first mechanical part and the mechanical part are interlocked  and first electrical connector and the second electrical connector are   disconnected when the first mechanical part and second mechanical part are separated ,Snap button fastener providing electrical connection
B,utility  method  controlling  vehicle accessory includes determining  transmission   vehicle    non park setting   response  determining the transmission  the vehicle   the non park setting  receiving speed data indicative   speed  the vehicle  determining  speed  operate the vehicle accessory based  the vehicle speed  comparing the determined speed  operate the vehicle accessory   speed threshold  and  response  determining that the determined speed  below the speed threshold  providing  command  the vehicle accessory  one  deactivate the vehicle accessory  operate the vehicle accessory   reduced operating state relative   current operating state  the vehicle accessory ,Electric engine accessory control
"H,G,A",utility  system monitors the distribution   disinfectant having  expiration  The system has distribution containers and use containers  each having  volume for dispensing the disinfectant   reader  the system can read identifiers associated with the containers  and  database  the system can associate the volumes and the expiration  the disinfectant contained  each  the containers  During monitoring  processing equipment  the system tracks each  the volumes  the disinfectant  the expiration  the disinfectant  and the identifiers  the containers  For example  the processing equipment can log the dispensing  the disinfectant from the distribution container  the use containers and can log any amount  the dispensed disinfectant  the use containers that was noted used  Additionally  the processing equipment can determine that the distribution container  any  the user containers have disinfectant past the expiration ,Material tracking system
G,utility  approach  provided for delivering  configuration based workflow    system   set  parameters and pre configured conditions associated with  command initiated for execution are determined  Validation action   that validate the command and are included  the configuration based workflow are determined  The validation action   are specified  respective interaction   with external system    Validation action   included  the configuration based workflow are performed  completing the interaction   with the external system   using the set  parameters    determined whether the validation action   are successfully completed   the validation action   are successfully completed  the execution  the command  continued    least one  the validation action    not successfully completed  the execution  the command  discontinued ,Delivering configuration based security and process workflows
"C,A",utility The present invention provides novel  single chain  fusion proteins having improved properties  The invention provides single chain fusions  soluble proteins fused  the  region   immunoglobulin via  novel linker comprising  constant region   immunoglobulin light chain linked     constant region   immunoglobulin heavy chain  This novel linker confers favorable properties  the  fusion proteins  the invention such  improved bioactivity and increased half life  compared  non  fusion counterparts   compared  prior art  fusion proteins  The novel  fusion protein scaffold  described herein may  designed  include soluble proteins  interest capable  binding  interacting with any target  interest  Preferably  the  fusion protein  the invention   dimer  The dimer preferably forms via  disulfide bond between free cysteine residues  the hinge region  two monomeric  fusion proteins  the invention ,Single chain Fc fusion proteins
G,utility Disclosed are systems and methods for determining  location   customer within  store  The systems and methods may include receiving  least one image   item located  the store  The item may  held  the customer  The systems and methods may also include creating  feature vector  The feature vector may store features  the  least one image  the item  The location  the customer may  determined using features stored  the feature vector ,Location determination
A,utility  Infusion device     for administering  medical fluid   patient     comprises   receptacle      for receiving  syringe     having  tube      containing  medical fluid and  piston      movable with respect  the tube        pusher device      for acting onto the piston      for pumping the medical fluid from the tube      towards  patient      set flow rate   sensor device      for measuring  force acting  between the pusher device      and the piston       the syringe      and  processor device      for deriving  from the force measured  the sensor device        pressure value indicative  the pressure  the delivery line      wherein the processor device       constituted  compare the pressure value   threshold value  Pthres  for determining whether  occlusion     the delivery line      present  Herein  the processor device       constituted  determine the threshold value  Pthres  from  first threshold value candidate computed based   desired time between the time       occurrence   occlusion     the delivery line     and the time      which the pressure value exceeds the threshold value  Pthres   and  second threshold value candidate based   force error estimate   possible deviation between  expected frictional force and  true frictional force occurring when moving the piston      relative  the tube      ,Infusion device and method for administering a medical fluid to a patient
"F,G",utility  member linking mechanism  pairable with  gas chromatograph  which has  small and simple configuration  and  capable  linking two members together with  required fastening force even   limited space  The member linking mechanism includes  first member having  member linking part with  opening  its distal end surface   second member   linked  the member linking part  the first member   elastic sealing member sandwiched between the first and second members    seal the opening  the distal end surface  the member linking part  and  linking member for linking the first and second members together via pressure  The linking member includes   linking member body configured  hold  end part   the second member  adjacent  the first member  and  elastic deformation part provided  the linking member body ,Member linking mechanism and member linking method
C,utility  polyamideimide copolymer which   imide   polyamic acid resulting from copolymerizing  aromatic diamine monomer   aromatic dianhydride monomer  and  aromatic dicarbonyl monomer and  colorless and transparent polyamideimide film including the polyamideimide copolymer  The polyamideimide copolymer according  the present disclosure makes  possible  provide  polyamideimide film exhibiting excellent scratch resistance while being colorless and transparent ,Polyamideimide copolymers and colorless and transparent polyamideimide film comprising the same
G,utility  method  disclosed   implementation establishment system may receive  first message including  request method model and  template from  request processor  The implementation establishment system may generate  least one test API call based  the request method model and the template  The implementation establishment system may then transmit the  least one test API call  the request processor  The implementation establishment system may receive  least one response based  the  least one test API call from the request processor  The implementation establishment system may evaluate the  least one response  The implementation establishment system may generate  response notification based  the  least one response  The implementation establishment system may transmit the response notification  the request processor ,System and method for establishing common request processing
